文章标题,发表时间,阅读数,医生,医院,科室,文章
萎缩性胃炎一般多久就可以癌变, 2020-04-30 14:17,3863,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,萎缩性胃炎发展到胃癌，中间需经过肠化生、异型增生两个阶段，一般时间较长，至少需要几年甚至几十年的时间。　　萎缩性胃炎是胃黏膜的上皮和腺体萎缩，腺体数目减少，胃黏膜变薄，根据腺体萎缩程度可分为轻度、中度、重度。轻度慢性萎缩性胃炎经积极的药物治疗后，部分有可能获得逆转；中、重度慢性萎缩性胃炎在治疗上相对较困难。慢性萎缩性胃炎出现肠上皮化生者，大约6%可发展为胃癌。肠化生范围越广，癌变危险性越高。萎缩性胃炎发生癌变通常需要比较长的时间，具体多久需结合自身病情来分析判断。　　一旦确诊为萎缩性胃炎，尤其伴有肠化生者，需要高度重视，应积极进行治疗。
用海螵蛸治胃炎要吃多久, 2020-04-30 14:10,3826,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,用海螵蛸治胃炎一般2周左右可以体现出疗效，但具体用药时间因人而异，不可一概而论。　　海螵蛸是中药饮片，具有收敛止血、涩精止带、制酸止痛的作用和功效，常用于治疗吐血、鼻出血、外伤出血、中和胃酸、胃溃疡等病症。海螵蛸可以治疗由于胃酸过多引起的胃部不适感，但需在中医医生的指导下用药，可与其他一些中药搭配应用，疗效更为明显。一般情况下，服药2周左右可见效果。服用海螵蛸期间要监测肝肾功能，如果出现了恶心、呕吐、腹泻、黄疸、乏力、纳差等症状，应当立即停用，严重者需及时前往消化内科就诊。　　服用海螵蛸期间，建议清淡饮食，避免进食辛辣、油腻、刺激性食物，多进食新鲜蔬菜和水果。
全胃切除能活多久, 2020-04-30 13:42,3101,陆巍,上海交通大学医学院附属新华医院,普外科,全胃切除手术后能活多久，主要与患者的病因有关，不可一概而论。　　全胃切除手术适用于急性糜烂性出血性胃炎和胃癌的治疗。如果是急性出血性胃炎的患者进行全胃切除，术后可以达到痊愈，一般不会影响患者的正常寿命。如果是胃癌的患者进行全胃切除手术，术后能活多久主要取决于肿瘤的病理诊断类型和分期。如果是高分化腺癌，只侵及到胃壁黏膜层，没有淋巴结转移和远处器官转移，患者术后5年生存率可达90％以上；如果是低分化腺癌或印戒细胞癌，肿瘤侵及胃壁外层，同时伴有淋巴结转移或者是有远处器官转移，患者术后5年生存率为20％左右。　　此外，全胃切除手术后的患者需定期复查，遵循医嘱，有助于延长生存期。
萎缩性胃炎能活多久, 2020-04-30 10:43,5002,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,萎缩性胃炎能活多久并没有绝对的定论，取决于病情进展的程度及后期是否并发癌变等一系列因素。　　萎缩性胃炎具有一定的癌变倾向，一般情况下，萎缩性胃炎每年癌变的概率在0.5%-1%。所以，萎缩性胃炎的患者一定要定期复查胃镜，根据胃镜及病理检查，根据肠上皮化生是轻度、中度，还是重度的不典型增生，决定复查胃镜的频率。如果是重度不典型增生，可能建议手术治疗；其他情况建议定期复查胃镜和病理，有的患者可能需要半年到一年复查一次，最少也要1-2年复查一次胃镜。如果慢性萎缩性胃炎没有发生癌变，没有发生胃部严重疾病，如消化道出血，大多数是能够长期生存。　　慢性萎缩性胃炎的患者，没有必要过于担心，做好复查，在医生指导之下，规律用药，注意饮食，大多数预后不错，属于一种慢性疾病，可以长期携带，不一定直接影响患者的寿命。
胃窦炎一般多久能治愈, 2020-04-03 09:39,3923,姚炜,北京大学第三医院,消化科,胃窦炎一般多久能治愈，和饮食习惯、治疗措施等有关，存在较大个体化差异。　　胃窦炎主要表现为反复发作的上腹部胀痛，伴有反酸、嗳气、胃部烧灼感等症状。该病主要由于长期饮食不规律，造成胃酸异常分泌，进而刺激胃部黏膜，同时受精神因素影响，如紧张、焦虑、压力过大等而容易诱发。因此患者应及时改善不良生活习惯，同时根据具体情况选择抑酸、促胃动力、保护胃黏膜等药物治疗，通常1-2个月左右可以恢复。而有些患者病情较重，经生活调理和药物治疗无法治愈，可能需要手术治疗，治愈时间会相对延长。　　建议患者养成良好的饮食习惯，保持三餐规律，尽量少食用辛辣刺激性食品，另外还需注意胃部保暖，多做腹部热敷、按摩等，保持心情舒畅，合理安排睡眠时间，均有助于康复。
假如胃能说话, 2020-03-23 15:08,189,乐湘华,中国人民解放军第一八七中心医院,消化内科,我是陪伴你一生的胃，这会你总算消停了，安静了，而你消停安静是建立在我莫大痛苦之上的。也只有在这个时候，我才能诉说我的哀愁、怨恨，希望你这次能感受到我的悲伤、心酸！　　在别人眼中，你是义气重的哥们，每回朋友聚会都拉上你，觥筹交错中，朋友敬你一圈，你已微熏，喝嗨了，踉跄中还要回敬一圈，全然不管前面没有进食任何东西，任由酒精直接刺激撕扯我脆弱的粘膜，难受、恶心、反酸，我提醒你喝得太猛了，伤害到我了，可你还是嚷着“兄弟，走一个”。我抗议，心想把你喝下去的全踢出来，你应该知道老子不舒服了，可你的狐朋狗友还是不放过我，兄弟，喝急了一点，怕什么，慢点来！于是。。。。。。　　第二天你还元气大伤，胃里的酒精没有排空，一直腐蚀、攻击我的粘膜防御机制，让我防不胜防，终于酒精在我的黏膜上撕开了好几道口子，轻者称为糜烂，深者直达我肌肤——溃疡，我不舒服、隐隐作痛，你一直反酸、上腹饱胀感，一个上午都迷糊着，班都没上，看到你这么难受，我想你应该尝到酒精的厉害了！不会再沾惹它了吧！　　可惜，你还难受中，你那些朋友又来电话了“胃不舒服，喝点白的消消毒就好了”，我丢！什么歪歪理，你经不住劝，竟然信了，义无反顾地赶向下一场子，闻到周边那股醇醇的气味，你又迷失自我，今朝有酒今朝醉。　　喝酒后你精神错乱，一会儿误拿了左边大哥的勺子喝汤，一会儿误夹了右边小妹碗里那块咬了一半的红烧肉。在您胡吃海塞、不知饱腹为何物时，一个嚣张的家伙大摇大摆的进入到了我的领地，它就是在此后一年中让我痛不欲生的始作俑者——幽门螺旋杆菌。　　幽门螺杆菌是一种难缠又强大的细菌，它能精确突破我的一系列防御机制，破坏我的上皮细胞，强制性寄居在我的领地内。　　这个家伙杀伤性武器多，除直接破坏我粘膜外，还可以刺激胃酸分泌多，带动胃酸攻击我伤痕累累的肌肤，糜烂、溃疡面一直扩大，又得不到你帮助。　　虽然每天早晨起来你感受老是隐隐作痛，我发出警告，让你带我去检查一下，但你一心只想上班，懒到去检查，觉得胃痛不是大问题，跑到药店买点去痛片吃，当时明智的药店工作人员说，胃痛不能吃止痛片，止痛片只会加重胃粘膜损伤，可你嫌她啰嗦，去痛片才几毛钱，药店推荐的“雷贝拉唑肠溶片”要贵一点，你还以为药店的工作人员推荐用药有猫腻。却不知，去痛片这种非甾体类消炎药，吃到胃内后会加重胃粘膜的损伤，导致糜烂面积扩大、溃疡加深，扎破血管引发出血，鲜血涌出，模糊了我的眼睛，布满全视眼，顺流而下，整个肠道都充满，你头晕、乏力，解黑便，这下尝到酒精、幽门螺旋杆菌的厉害了吧。　　家人看你脸色惨白，碜得慌，急诊送医院，胃镜一查胃溃疡出血，血常规显示血红蛋白只有正常人的一半，医生说幸亏送得还及时，不然你命休也！　　回顾这段时间你与我共处经历，你那些所谓哥们兄弟，真不是东西，什么时候关注过你健康。酒嘛，虽然是粮食作的，但酿成酒已经变质了，都说五谷杂粮养胃，五谷杂粮酿出的它竟然直接攻击我；幽门螺旋杆菌跟我天生有仇，它一辈子只能在胃窦里生长，而你呢，是最大的帮凶，酒精错乱了你，引狼入室带它来攻击我；无知的你喝下去痛片，在我伤口上再撒上最后一把盐，嫌我还不够痛、还不出血，真是作死的节奏。
胃肠也会闹情绪, 2020-03-23 10:31,219,乐湘华,中国人民解放军第一八七中心医院,消化内科,新冠疫情常碰到病人说“胃不舒服，老嗝气”，吃饭往下咽时老感觉堵，肚子还咕咕叫，有时大便不成形，肚子不舒服，心情不好，老是感觉胃肠道里面长东西，可是冒着风险做了胃镜、肠镜又没有发现任何问题。　　其实病人上述症状，是功能性胃肠病引起的，通俗的说，胃肠道发脾气了，后果很严重：它不按“常理”工作了，食物吃进去后，胃肠道很不情愿，食物往前推进、消化、吸收速度很慢，吃得越多，堵塞越严重，它会抱怨“好胀”、“痛”，食物堆积多后，肠道内细菌想帮忙-把食物发酵、产气，结果帮倒忙，气体产生后排不出来，淤积在胃肠道里面，撑得难受，常常觉得打嗝、放屁后症状会缓解一点点。　　胃肠道发脾气的原因很多，一是大环境不好，病人处于紧张担心状态下，心理压力大，胃肠也一片乌云密布；二是“人祸”，疫情期间，主人生活不规律（饿一顿饱一顿）、或者老是大鱼大肉，胃肠负担重，不能有效地休息；三是胡乱用药，一看肚子不舒服，以为是感染了，直接上诺氟沙星等抗生素，结果对肠道菌群损伤更重；此外，疫情期间活动锻炼少也是重要的诱因。　　如果病人有上述症状时，就要考虑到功能性胃肠病的可能性，肠镜检查胃镜检查没有发现异常，就可以确诊为这个病。　　控制胃肠道发脾气的药物分为两类，一是“绿化”肠道表面，补充肠道益生菌改善肠道微生态环境；二是调节肠道蠕动功能，常用药物有匹维溴铵、奥替溴铵、马来酸曲美布汀等；当然首先要调整好心情，疫情期间隔离、无事可做，应该欣喜难得有假期看看喜欢的书、追追剧，如果病人情绪一直不稳，一直纠结肠道不适而无法释怀，可考虑在医生指导用黛力新一类抗焦虑抑郁药物。最后就是给胃肠道减负，不吃油腻油炸食物，不喝牛奶豆浆，要少吃多餐，要戒烟酒。
慢性萎缩性胃炎伴糜烂严重吗, 2020-01-16 13:12,67361,谷阔,哈尔滨市第一医院,消化内科,慢性萎缩性胃炎伴有糜烂是否严重，需根据胃镜下病理活检结果而定，不能一概而论。　　慢性萎缩性胃炎伴有糜烂，胃镜下报告多提示有胃黏膜萎缩、表面血管显露、部分糜烂，此种情况相对不严重，多与暴饮暴食、饮食不规律、经常食用刺激性食物有关，通过服用奥美拉唑、吗丁啉、泮托拉唑等抑制胃酸、保护胃黏膜的药物治疗，可逐渐恢复。如果报告提示有糜烂、萎缩区的胃黏膜有肠化或不典型增生，则提示有癌变的可能，属于癌前病变，在治疗的同时需要定期复查。如果报告提示有重度不典型的增生，则情况较为严重，需立即行胃镜下黏膜剥离术。　　胃病患者在饮食上需多加注意，应吃易消化、无刺激性的食物，少吃过酸、过甜及辛辣刺激食物，忌烟、酒、浓茶及咖啡。
男人老是恶心想吐是癌症早期吗, 2019-12-20 14:05,85607,谷阔,哈尔滨市第一医院,消化内科,男人老是恶心想吐不一定是癌症早期，因为男性出现恶心想吐的原因有很多，比如胃肠型感冒及多种胃肠道疾病都可能会出现恶心想吐的情况。　　男人老是恶心想吐首先还是要考虑胃炎、胆囊炎的情况，并不能代表是癌症早期。除恶心想吐的症状外，胃炎还有上腹部不适、反酸、烧心、嗳气、腹胀等症状；胆囊炎还会有不想吃油腻食物、右肩疼痛等症状。但早期胃癌确实也可能出现恶心想吐的症状。如果患者担忧，可以到医院消化科进行胃镜检查等，区分是否是癌症早期。　　对于经常恶心想吐的男性，在日常生活中应注意补充营养，多吃含蛋白质以及纤维素多的食物，尽量少食多餐，保证身体营养的供给。
胃里火烧火燎的是不是胃癌, 2019-12-20 13:22,62359,谷阔,哈尔滨市第一医院,消化内科,胃里火烧火燎的不一定是胃癌，饮食过饱、饮食后剧烈运动、浅表性胃炎、胃溃疡等都会引起胃部灼烧的感觉。　　胃癌的症状多表现为进食后上腹部疼痛、腹胀、灼烧感等。一旦出现胃部火烧火燎的情况，建议患者及时去医院进行胃镜检查，明确是胃癌还是其他疾病类型，并且遵医嘱进行药物治疗，通常可以有效缓解胃里火烧火燎现象。对于胃酸分泌过多引起的胃部不适，患者可以多吃碱性的食物缓解症状，比如常见的苏打饼干、面包、红茶等，都是不错的选择。对于慢性胃炎所致的胃部灼烧感，建议患者多吃富含高蛋白食物或高维生素食物，如瘦肉、鱼、动物肝、深色蔬菜及水果等，有利于慢性炎症的恢复。　　因此，出现胃里火烧火燎的现象，患者应予以重视，及时到医院就诊，以免贻误病情。
胃镜检查报告解读, 2019-12-02 11:44,42176,王蔚虹,北京大学第一医院,消化内科,胃镜检查报告包括检查者基本信息、检查项目、检查所见、病理诊断和镜检诊断。　　检查所见：指医生在胃镜下所看到的食管、贲门、胃底、胃体、胃角、胃窦、幽门以及十二指肠的变化。　　常见镜下诊断：未见明显异常、反流性食管炎、慢性浅表性胃炎、慢性萎缩性胃炎、胃溃疡、十二指肠球炎、食管癌、胃癌等。　　表示正常的结果：未见明显异常。如果伴有不适症状，应由医生进行进一步检查。　　表示异常的结果　　1、反流性食管炎：镜下可见食管黏膜充血、水肿、不光滑、血管纹理不清、可见条状红斑，甚至有糜烂、溃疡，齿状线也失去正常形状等，需在医生指导下应用胃酸抑制药物，以减轻反流及减少胃分泌物的刺激及腐蚀；　　2、慢性浅表性胃炎　　镜下可见胃黏膜有充血、水肿、条状红斑、糜烂、出血、局部有龟背纹样改变，黏膜脆性增加，需纠正患者不良饮食习惯，给予清淡、易消化食物，必要时在医生指导下应用胃黏膜保护药物或制酸剂。　　3、慢性萎缩性胃炎　　胃黏膜病变累及腺体，出现腺体萎缩，数目减少，胃黏膜呈灰白色或黄暗灰色，黏膜皱襞变平坦、缩小、颗粒状不光滑，需戒烟忌酒，饮食宜规律，避免过热、过咸和辛辣食物，检测和治疗幽门螺杆菌，需遵医嘱定期复查胃镜。　　4、胃溃疡　　胃壁组织缺损形成凹陷，呈圆形或卵圆形，表面覆有白色或黄白色苔，溃疡周围充血、水肿，边缘隆起或有周围黏膜向其集中，确诊后需在医生指导下给予胃黏膜保护药物，如硫糖铝、铋剂等，积极治疗幽门螺杆菌感染。　　5、十二指肠球炎　　十二指肠球部黏膜不光滑，有弥漫性小颗粒状(淋巴滤泡增生)、发红(充血)、水肿、糜烂等改变，提示十二指肠球炎，需要去除致病因素，如避免进食对胃黏膜有强刺激的饮食及药品，戒烟忌酒，根除幽门螺杆菌和抑制胃酸分泌。　　6、食管癌　　镜下可见食管黏膜糜烂、溃疡、狭窄及肿物形成，中、晚期有明显的不规则狭窄和充盈缺损，管壁僵硬，确诊后首选手术治疗，同时配合放化疗。　　7、胃癌　　胃癌分型不同，其镜下表现也不同。如隆起型胃癌镜下可见黏膜呈息肉状隆起，表面凹凸不平，颜色是红色或有糜烂，与周围正常黏膜无明确分界；平坦型胃癌病变略微突起或低于周围的黏膜，病变黏膜可呈局限性或较广泛发红、变色或褪色等，确诊后需要手术治疗，同时配合化疗、靶向治疗以及其他支持治疗。
胃炎吃什么呢?, 2019-11-25 14:33,205,韩红波,滨州市中心医院,胃肠外科,胃炎这个疾病相信大家都有听说过，不少肠胃功能差的人在检查了之后都会发现自己其实是有胃炎的。胃炎的危害是很大的，可以引起各种疾病，而胃炎本身的病因也很复杂。那么胃炎吃什么呢?　　容易消化的食物　　如果你已经患上了胃炎，建议多吃容易消化的食物，这样给肠胃减轻负担，如果还总是去吃难以消化的东西，会让胃炎的情况加重。多数的蔬菜以及水果都是比较好消化的，还可以常吃面条和稀饭，油炸的食物以及各种豆类要少吃。　　热乎的食物　　胃炎患者在选择了食物的种类之后，还应该注意食物的温度。过冷的东西，比如说冰淇淋和生鱼片等等，不建议吃，因为冰的食物会刺激肠胃，诱发胃炎。而相对的，特别烫的东西也不宜吃，以免造成食道损伤，吃一些接近体温的食物比较好。　　干净卫生的食物　　食物在考虑到是否好消化和营养价值如何之前，其实第一要考虑的就是干净。因为不管是胃炎患者还是普通人，吃了不干净的东西是很容易发生肠胃疾病的，胃炎的朋友如果吃了不洁净的食物，多数会有胃疼和恶心之类的反应。　　煮的熟透了的食物　　煮的彻底熟透的了食物才会完全灭菌，吃起来才会放心。患了胃病的人一定要注意这些，尤其煮鸡蛋，溏心蛋一定不要吃。　　清淡少调料的食物　　患病期间一定要多喝水，饮食清淡。如果想进荤腥可以吃清炖肉的肉汤，放一点姜葱料酒去腥就可以，后起锅的时候再放盐调味。　　吃稀饭并且少吃或者不吃干饭　　患病期间好以稀饭为主，比如清淡的汤类，粥类，主食也可以吃碱面馒头，但是尽量不要吃大米饭等干饭。
胃炎有什么危害呢?, 2019-11-20 18:00,216,韩红波,滨州市中心医院,胃肠外科,胃炎这个疾病相信大家都有听说过，不少肠胃功能差的人在检查了之后都会发现自己其实是有胃炎的。胃炎的危害是很大的，可以引起各种疾病，而胃炎本身的病因也很复杂。那么胃炎有什么危害呢?　　一、胃出血：患有胃炎的朋友如果不能及时的治疗，很有可能会导致胃出血的情况出现，这个症状比较常见，这个时候患者的粘膜萎缩变薄、血管显露、粗糟食物磨搓、粘膜糜烂出血，患者本身也会出现黑便，若出血量大时，可突然吐血，一旦患病比较严重可能有头晕、心慌、眠黑等情况。　　二、胃溃疡：我们应该知道，胃炎开始对我们的身体基本是没有什么严重的危害，但是如果出现了胃溃疡，那么就要特别的注意了，胃溃疡与浅表性胃炎、糜烂性胃炎同在，都是因为炎症刺激的关系，患者的胃粘膜萎缩变薄，并发糜烂、溃疡。　　三、贫血：很多人应该想不到，其实胃炎很有可能会造成贫血的情况，我们在患有慢性胃炎大量失血后，就会出现两种贫血的情况：巨幼红细胞贫血，即恶性贫血。这个时候患者会有头晕、乏力、心悸、面色苍白。缺铁性贫血。一是慢性失血所致;二是慢性胃炎患者吃饭少，营养不足引起。　　四、胃癌前期：据国际卫生组织统计，在胃癌高发区，经10-20年随访，平均胃癌发生率为10%，他们的发展脉络为：浅表性胃炎-慢性胃炎-肠化生或不典型增生-胃癌。慢性胃炎的癌变与胃炎性增生密切有关。有种情况的慢性胃炎易癌变：慢性胃炎伴有恶性贫血者，癌变发生率比其它胃肠病要高出20倍以上，要引起胃肠病患者重视。
胃炎是什么原因呢?, 2019-11-20 17:40,399,韩红波,滨州市中心医院,胃肠外科,胃炎这个疾病相信大家都有听说过，不少肠胃功能差的人在检查了之后都会发现自己其实是有胃炎的。胃炎的危害是很大的，可以引起各种疾病，而胃炎本身的病因也很复杂。那么胃炎是什么原因呢？　　1、病毒感染　　慢性胃炎多数是在急性胃炎之后出现的，而急性胃炎的出现跟细菌有一定联系，比如幽门螺旋杆菌感染以及病毒或者其他的一些毒素。　　2、不良生活习惯　　不良生活习惯也会导致慢性胃炎出现，比如经常喝酒以及喝咖啡等等都会让胃部变得非常脆弱，因此这些会伤害胃部的行为一定要注意起来。　　3、药物　　一些药物在进入胃部之后会对胃部造成伤害，比如保泰松、消炎痛以及水杨酸盐等等，都会导致慢性胃粘膜损害发生。　　4、胆汁反流　　在胆汁当中含有胆盐这种物质，这种物质在进入胃部之后也会破坏胃粘膜，会让胃液当中的氢离子进入到胃粘膜从而引起炎性反应。　　5、环境变化　　不管是周围所处的环境发生变化，还是一段时间之内气候出现变化都会使得胃部花费一定时间适应，长时间下去会引起支配胃部的神经功能出现紊乱，会让胃液分泌以及胃部的运动产生不协调的现象并终引发胃炎。　　6、其他因素　　胃部比较敏感，很多方面的问题都会引起胃部异常，比如长时间精神紧张或者生活不规律也会导致这种情况发生。　　慢性胃炎会给患者的正常生活带来很大的影响，关于慢性胃炎的诱因上述已经做出了全面的介绍，慢性胃炎如果不及时治疗还会引发更加严重的后果，因此一定要注意积极治疗。
如何根除幽门螺杆菌, 2019-11-11 12:17,203,文宇航,宜昌市中医院,脾胃病科,幽门螺杆菌感染是消化系统多种疾病的治病因素，如果检查中发现幽门螺杆菌阳性，则应该行抗幽门螺杆菌治疗，否则，能够引起胃炎、胃十二指肠溃疡，甚至胃癌、十二指肠癌等多种疾病的发生。　　目前市面上还没有哪一种药物能够单独根除幽门螺杆菌，一般采用联合用药来治疗。如三联疗法、四联疗法等。三联疗法包括一种质子泵抑制剂加上两种抗生素，质子泵抑制剂临床上一般选择奥美拉唑肠溶胶囊、雷贝拉唑钠肠溶胶囊、泮托拉唑钠肠溶胶囊，抗生素可选用青霉素类、喹诺酮类、氨基糖苷类、大环内酯类、呋喃类等，临床上阿莫西林+克拉霉素+雷贝拉唑钠肠溶胶囊的三联疗法，服用10-14天后，停药1月复查，根除率比较高。若仍为阳性，应该在上述三联疗法的基础上再加上一种铋剂，如胶体果胶铋、枸橼酸铋钾、铝酸铋等，起到辅助杀菌的目的。　　进行抗幽门螺杆菌治疗后，应该复查，若仍为阳性，应该换用敏感抗生素再次杀菌治疗。再者，抗幽门螺杆菌治疗后应该注意预防再次感染。
认识幽门螺杆菌, 2019-11-01 15:37,346,文宇航,宜昌市中医院,脾胃病科,幽门螺杆菌病是一种螺旋形、微厌氧、对生长条件要求十分苛刻的细菌。它由巴里·马歇尔1983年首次从慢性活动性胃炎患者的胃黏膜活检组织中分离成功，是目前所知能够在人胃中生存的唯一微生物种类。他也因此获得诺贝尔医学奖。所以说，幽门螺杆菌的本质是细菌，真核生物，它能够耐强酸。　　幽门螺杆菌可以导致胃炎、消化道溃疡、淋巴增生性胃淋巴瘤等。它的不良预后是胃癌。而胃癌是全球最常见的恶性肿瘤之一，在癌症死亡原因中位列第二。在我国，每年大约有16万人死于胃癌。　　幽门螺杆菌寄生在胃黏膜组织中，67%～80%的胃溃疡和95%的十二指肠溃疡是由幽门螺杆菌引起的。慢性胃炎和消化道溃疡患者的普遍症状为：食后上腹部饱胀、不适或疼痛，常伴有其他不良症状，如嗳气、腹胀、反酸和食欲减退等。因此及早发现幽门螺杆菌感染者，及时而有效地用抗菌素杀灭幽门螺杆菌，对预防和控制胃癌有重大意义。　　彻底消灭幽门螺杆菌并非难事，90%的细菌感染者经过1～2周治疗后，体内的幽门螺杆菌往往能被消灭殆尽。但是，也容易再次感染。
慢性胃炎需要注意点什么？, 2019-07-04 14:43,416,刘加宁,南京鼓楼医院集团宿迁市人民医院,消化科,慢性胃炎指不同病因引起的胃黏膜慢性炎症，可分为慢性非萎缩性胃炎、慢性萎缩性胃炎。慢性胃炎病程迁延，一旦症状明显，而且久治不愈时，病人易出现急躁、疑虑、悲观、抑郁等情绪，家人可以和病人进行充分沟通，鼓励病人说出忧郁烦恼的心理感受，尽量满足要求，并充分放松。　　在饮食和生活上应注意：　　1、胃酸过多者，进食面包、碱性馒头、豆浆、淀粉、牛奶等。　　2、贫血者食动物肝、肾、蛋类、茄子、西红柿等新鲜蔬菜。　　3、避免生、冷、过热、过酸及浓烈香辛的食物；少食腌制、不新鲜和烟熏食物；避免食用汽水、啤酒、豆类、马铃薯和胡萝卜等易产气食物。　　4、指导病人养成良好的饮食习惯，定时进餐，少食多餐，食物宜软且易消化，细嚼慢咽，以进食后不产生饱胀感为宜。　　5、戒酒、烟，避免服用刺激胃黏膜的药物。　　6、平时注意劳逸结合，生活规律。　　7、腹胀者，鼓励饭后散步，适度活动，促进肠蠕动。　　在饮食及情绪调整不能改善症状时，需要及时到医院就诊。必要的胃镜和（或）幽门螺杆菌检测可以明确诊断。规范化个体化的药物治疗有助于疾病恢复。在药物服用上：抑酸剂应在饭前半小时至1小时服用；如为肠溶片，不要咀嚼；保护胃粘膜的药物应在餐前1小时服用；促进胃排空的药物应饭前服用。除了药物治疗外应充分了解疾病病因、症状的发生过程。强调建立良好饮食习惯的重要性。禁止滥用胃刺激性药物
慢性胃炎打嗝怎么治疗？, 2019-04-19 15:39,46210,夏志伟,北京大学第三医院,消化科,慢性胃炎患者由于胃肠蠕动减慢、胃内积气、胃内压力过高，胃排空减慢等原因，会出现打嗝（嗳气）。胃内气体经口腔溢出可以帮助降低胃内的压力降低上腹部的不适感觉。但也有些患者对胃内压力的不适感觉过于敏感，即使胃内压力不高也会感觉不适，主动进行嗳气动作。　　因此，在慢性胃炎患者反复出现嗳气，影响生活，导致不适的情况下，首先应该调整饮食和生活起居，进食不要过快过饱。油腻饮食也会抑制胃蠕动，减慢胃排空，引起嗳气加重，所以饮食应清淡好消化，避免加重胃肠负担。保持良好的睡眠和放松的心态，才能让胃肠道运动协调，不至于动力紊乱。　　症状明显者可在医生的指导下，应用促进胃动力的药物多潘立酮片，莫沙必利等，促进胃肠蠕动，帮助胃内容物的排空。餐后多做运动，运动有助于促进胃肠道的蠕动，帮助胃排空。一些有助于消化的中药也可以减轻嗳气症状。　　频繁嗳气者应分散注意力，消除紧张情绪及不良的刺激，减少主动嗳气的行为，慢慢适应也会减少嗳气症状的发生。
浅表性胃炎多久会癌变, 2019-04-11 10:33,76255,李军祥,北京中医药大学东方医院,脾胃肝胆科,浅表性胃炎就是胃黏膜出现轻微的良性浅表性的炎症，即没有萎缩，也没有糜烂，在国内是比较常见的一种胃病，常规来讲大多数的浅表性胃炎一般是不会发生癌变的，通常也比较容易治愈，注意清淡饮食，少饮酒，少吃辛辣的食物，或者服用中药调理一段时间就可以康复。　　由于浅表性胃炎临床症状比较轻微，所以得不到患者的重视，但是如果浅表性胃炎长期得不到医治和重视，很有可能会拖成萎缩性胃炎和胃溃疡。临床症状包括反酸，烧心感，腹胀，腹痛、恶心，如果再得不到重视，就容易造成反复的增生，严重就会发生癌变；虽然浅表性胃炎离癌症很远，但是如果患者是由于感染了幽门螺杆菌之后引发的浅表性胃炎，那就需要先进行幽门螺杆菌的根治治疗。　　总之，浅表性胃炎很普遍，不能直接导致胃癌，但是不良的饮食习惯未能纠正，也会加重这一病情。
糜烂性胃炎会癌变吗, 2019-04-11 10:30,37074,李军祥,北京中医药大学东方医院,脾胃肝胆科,糜烂性胃炎分为急性糜烂性胃炎和慢性糜烂性胃炎。听起来感觉很恐怖，糜烂性胃炎顾名思义就是胃部出现糜烂，其实这是一个良性病变，不会癌变。症状主要是饭后饱胀、嗳气、泛酸、无规律性腹痛及消化不良等症状。　　主要与严重创伤、败血症、颅内病变、大面积烧伤、休克及重要器官的功能衰竭等应激状态有关系；还有就是口服某种药物如非甾体类抗炎药、某些抗生素、类固醇激素等导致胃粘膜屏障受损，引起胃粘膜糜烂、出血。此外与幽门螺杆菌感染有关。　　避免摄入对胃粘膜刺激、损伤的药物或饮食，不吃过硬、过辣、过热、过咸、过分粗糙和刺激性强的食物。如油炸食品、辣椒、腌腊食品、大蒜等，咖啡、酒类以及直接刺激食道的食物尽量不吃。饮食选择容易消化的、富有营养的流质为主，多餐少量，出现出血需要禁食，采取积极治疗，治愈后注意调养，三分治疗，七分养，多数3~6个月恢复健康，不要有精神压力，影响身体恢复。有幽门螺杆菌感染的要行幽门螺杆菌根治治疗。
浅表性胃炎会癌变吗, 2019-04-11 10:29,45812,李军祥,北京中医药大学东方医院,脾胃肝胆科,浅表性胃炎是不会癌变的，浅表性胃炎是有一定几率发展成慢性萎缩性胃炎，胃癌的病变是有许多原因引起，其中萎缩性胃炎和胃溃疡是常见原因。　　浅表性胃炎是一个很常见、普遍现象，与癌症没有直接关系。在临床上没有明显的胃部疾病如胃溃疡，胃粘膜萎缩、肠化现象等，比较轻的炎症表现统称为浅表性胃炎，注意调理或是在医生指导下口服药物短时间可以恢复正常。　　有胃癌家族史的慢性浅表性胃炎患者，需要根除幽门螺杆菌治疗，且平时要少吃多餐，新鲜蔬菜水果应适量摄取，食物要以容易消化的食物为主，尽量减少硬、干、辛辣刺激食物。　　浅表性胃炎本身是不会癌变的，但伴有其他一些病理性改变要注意，如不典型增生、低级别瘤变或者高级别瘤变，病理上出现这种东西，要引起高度警惕，及时有效治疗，定期查体随访，以免出现肿瘤恶变。
